AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,SP500
79.76,177.44,95.48,34.32,110.12,110.32,247.35,145.95,181.35,2367.34
80.17,179.43,97.44,34.26,111.75,110.23,249.33,145.3,179.4,2369.75
80.06,180.23,96.66,34.18,112.5,110.09,248.06,144.91,179.82,2363.64
81.92,183.91,98.58,34.44,113.88,111.04,252.71,146.68,181.95,2395.96
80.1,182.99,94.36,34.39,113.36,110.59,251.06,147.95,180.53,2381.92
79.88,182.18,95.12,34.29,113.55,111.24,252.89,147.81,180.05,2383.12
79.5,180.93,95.66,34.19,113.17,110.67,252.01,147.13,180.47,2375.31
79.58,182.02,95.93,34.2,111.81,110.86,250.9,146.02,180.38,2368.39
79.04,181.74,93.23,34.02,109.61,110.84,250.24,146.92,179.45,2362.98
79.3,180.57,91.39,34.07,110.04,111.03,250.18,146.62,177.18,2364.87
79.38,178.7,92.31,34.26,110.61,110.92,248.38,146.85,177.83,2372.6
79.21,179.05,92.64,34.1,109.35,111.52,248.16,147.43,176.46,2373.47
79.69,178.73,91.86,34.12,107.36,112.31,247.72,147.16,175.72,2365.45
79.23,178.71,93.36,34.24,108.88,111.87,246.78,147.95,175.81,2385.26
79.77,178.19,92.85,34.23,107.86,111.71,248.22,148.73,177.24,2381.38
79.25,180.1,92.91,34.23,107.68,111.76,243.94,149.6,175.65,2378.25
78.85,179.39,95.4,34.28,107.66,112.71,242.14,147.8,175.7,2373.47
77.53,175.96,92.43,33.88,108.04,111.75,233,146.61,173.88,2344.02
77.67,176.98,92.43,34.1,108.39,112.08,231.07,147.36,174.78,2348.45
77.84,177.26,92.23,33.96,107.87,112.24,231.9,147.99,174.82,2345.96
78.2,175.82,92.15,34.08,107.99,112.14,228.41,147.71,173.83,2343.98
77.6,176.1,91.51,33.99,106.28,112.38,225.48,146.87,173.77,2341.59
78.64,177.36,92.95,34.02,107.17,113.05,229.33,147.2,174.51,2358.57
78.25,177.63,92.86,33.74,108.07,112.53,228.45,147.04,173.94,2361.13
79.21,177.98,93.22,33.74,107.78,113.18,231.22,146.95,173.86,2368.06
79.11,176.86,92.76,33.8,107.37,113.39,229.72,146.83,174.14,2362.72
78.59,176.65,92.27,33.58,107.8,113.2,228.96,146.62,174.5,2358.84
78.26,178.7,94.13,33.41,108.66,113.04,229.26,146.34,174.52,2360.16
77.76,177.08,94.24,33,108.64,113,227.66,146.64,172.88,2352.95
77.92,177.37,95.82,33.08,109.29,113.05,228.64,147.24,172.45,2357.49
77.77,178.85,95.52,32.96,108.86,112.58,227.88,147.13,172.14,2355.54
77.49,177.56,97.14,33.01,109.43,112.43,228.89,148.21,171.2,2357.16
77.26,178.57,97.1,32.92,108.97,113.07,227.74,148.2,170.58,2353.78
76.68,176.05,94.86,32.62,108.97,113.04,225.75,146.54,170.66,2344.93
